date,TH100,VAX100,CC100,CD100,wave,evidence_rate,country_source_rate,neutral_frame_rate,moderate_frame_rate,dangerous_frame_rate,neutral_measure_rate,mitigation_measure_rate,suppression_measure_rate,source_rate,neutral_emotion_rate,negative_emotion_rate,positive_emotion_rate,evidence_full
2020-03-12,0,NA,0.005352745958676801,0,1,15.999999999999995,0,40.400000000000006,4,55.60000000000001,48,6.4,45.6,13.200000000000003,62.4,36.8,0.8,23.599999999999998
2020-03-13,0,NA,0,0,1,5.687203791469184,0,38.388625592417064,12.796208530805686,48.81516587677725,34.12322274881517,7.5829383886255926,58.29383886255924,12.322274881516588,71.56398104265402,26.066350710900476,2.3696682464454977,17.061611374407583
2020-03-14,0,NA,0,0,1,7.511737089201902,0,38.497652582159624,14.553990610328638,46.948356807511736,41.78403755868544,3.286384976525822,54.929577464788736,7.981220657276992,56.8075117370892,40.845070422535215,2.3474178403755865,15.023474178403756
2020-03-16,0.145985401459854,NA,0.021410983834707204,0,1,1.0204081632653053,0,39.795918367346935,16.3265306122449,43.87755102040816,27.55102040816326,0,72.44897959183673,8.163265306122442,62.244897959183675,37.755102040816325,0,8.16326530612245
2020-03-18,0.20437956204379565,NA,0.037469221710737605,0.7518796992481203,1,11.30434782608697,0,30.434782608695656,8.695652173913043,60.86956521739131,40.869565217391305,13.478260869565217,45.65217391304348,16.956521739130427,47.391304347826086,43.47826086956522,9.130434782608695,21.73913043478261
2020-03-19,0.291970802919708,NA,0.25157906005780967,0,1,14.432989690721657,0,36.08247422680412,14.948453608247423,48.96907216494845,49.48453608247423,6.185567010309279,44.329896907216494,12.371134020618559,54.63917525773196,39.69072164948454,5.670103092783505,26.288659793814436
2020-03-20,0.5547445255474452,NA,0.3961032009420833,0.7518796992481203,1,10.900473933649286,0,71.09004739336493,7.109004739336493,21.80094786729858,52.13270142180095,15.165876777251185,32.70142180094787,18.957345971563985,80.56872037914692,17.061611374407583,2.3696682464454977,25.59241706161137
2020-03-21,0.7007299270072992,NA,0.7386789422973986,0.7518796992481203,1,18.224299065420567,0,49.532710280373834,5.607476635514018,44.85981308411215,51.4018691588785,10.74766355140187,37.850467289719624,8.878504672897188,67.7570093457944,27.102803738317753,5.14018691588785,23.364485981308412
2020-03-22,1.313868613138686,NA,0.9099668129750562,0.7518796992481203,1,9.897610921501684,0,56.31399317406144,5.802047781569966,37.883959044368595,42.32081911262799,6.484641638225256,51.19453924914675,9.215017064846414,64.16382252559727,32.76450511945392,3.0716723549488054,18.43003412969283
2020-03-23,1.9562043795620438,NA,1.375655711379938,0.7518796992481203,1,11.553784860557768,0,41.832669322709165,6.772908366533864,51.39442231075697,43.02788844621514,8.764940239043826,48.20717131474104,11.95219123505977,58.56573705179283,36.254980079681275,5.179282868525896,23.107569721115535
2020-03-24,2.2773722627737225,NA,1.1722513649502195,2.2556390977443606,1,7.831325301204813,0,34.33734939759036,15.66265060240964,50,33.13253012048193,12.650602409638553,54.21686746987952,11.445783132530115,64.45783132530121,31.92771084337349,3.614457831325301,19.27710843373494
2020-03-25,3.0948905109489053,NA,1.3274809977518467,6.015037593984962,1,19.246861924686208,0,51.04602510460251,1.6736401673640167,47.28033472803347,71.1297071129707,0.8368200836820083,28.03347280334728,11.297071129707117,61.08786610878661,26.359832635983267,12.552301255230125,28.451882845188287
2020-03-26,4.116788321167883,NA,1.835991863826143,4.511278195488721,1,10.447761194029844,0,61.19402985074627,4.477611940298507,34.32835820895522,59.70149253731343,12.935323383084576,27.363184079601986,12.437810945273611,73.6318407960199,24.378109452736318,1.9900497512437811,21.890547263681594
2020-03-27,4.788321167883212,NA,2.312386254148378,2.2556390977443606,1,27.692307692307683,0,38.97435897435898,7.6923076923076925,53.333333333333336,45.64102564102564,2.564102564102564,51.7948717948718,16.41025641025641,66.15384615384615,28.717948717948715,5.128205128205128,38.97435897435898
2020-03-28,5.6058394160583935,NA,2.162509367305428,10.526315789473683,1,17.689530685920577,0,37.90613718411552,10.469314079422382,51.624548736462096,39.71119133574007,2.527075812274368,57.761732851985556,22.743682310469335,50.54151624548736,45.12635379061371,4.332129963898916,35.37906137184115
2020-03-29,6.86131386861314,NA,2.671020233379724,7.518796992481203,1,21.311475409836085,0,52.459016393442624,11.475409836065573,36.0655737704918,57.377049180327866,11.885245901639344,30.737704918032787,11.065573770491804,66.39344262295081,22.540983606557376,11.065573770491802,30.327868852459016
2020-03-30,8.35036496350365,NA,3.222353067123435,10.526315789473683,1,35.028248587570644,0,48.0225988700565,9.6045197740113,42.3728813559322,62.71186440677966,9.6045197740113,27.683615819209038,18.644067796610138,59.887005649717516,37.28813559322034,2.824858757062147,47.45762711864407
2020-03-31,8.963503649635037,NA,4.025264960924955,11.278195488721805,1,12.903225806451621,0,46.774193548387096,10.483870967741936,42.74193548387097,52.41935483870967,36.29032258064516,11.29032258064516,10.483870967741936,81.45161290322581,12.903225806451612,5.64516129032258,20.967741935483872
2020-04-01,10.656934306569344,NA,3.067123434321807,10.526315789473683,1,15.057915057915022,0,46.33204633204633,6.177606177606178,47.49034749034749,46.33204633204633,16.602316602316602,37.06563706563706,22.393822393822404,60.61776061776062,29.72972972972973,9.652509652509652,33.204633204633204
